product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count
P00001,Coca-Cola,Beverages,Target.com,Coca-Cola Energy Drink 12pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,814
P00002,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.6,1470
P00003,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Dish,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,2.9,2708
P00004,Nestle,Confectionery,Walmart.com,Nestle Chocolate Bar (Pack of 1),32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,4.1,700
P00005,Kelloggs,Breakfast,Instacart,Kelloggs - Granola Bars 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,3.2,3862
P00006,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box (Pack of 8),40,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.6,566
P00007,Kelloggs,Snacks,Amazon,Kelloggs - Cracker Sandwiches,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,,0
P00008,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,1,Made with real ingredients for a taste you'll love,True,True,False,True,True,3.2,3738
P00009,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.8,3599
P00010,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive Toothpaste 6oz,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
P00011,Nestle,Confectionery,Kroger.com,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,2.9,86
P00012,Kelloggs,Breakfast,Amazon,Kelloggs Granola Bars 6pk,25,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,3.1,3831
P00013,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,2982
P00014,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive - Mouthwash 1L,32,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,False,True,True,2.9,2214
P00015,Coca-Cola,Beverages,Walmart.com,Coca-Cola - Diet Cola 2L Bottle,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,True,True,True,True,3.4,2853
P00016,Kelloggs,Snacks,Walmart.com,Kelloggs Cheese Crackers Box,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,,0
P00017,Nestle,Beverages,Amazon,Nestle Juice,12,0,,True,True,False,True,True,3.0,2692
P00018,Kelloggs,Snacks,Walmart.com,Kelloggs Pretzel Bag (Pack of 6),32,1,Made with real ingredients for a taste you'll love,True,True,False,False,True,4.0,409
P00019,Coca-Cola,Beverages,Target.com,Coca-Cola Juice Drink 6pk,25,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,,0
P00020,Kelloggs,Breakfast,Amazon,Kelloggs Instant Oatmeal 8pk,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,,0
P00021,Kelloggs,Snacks,Amazon,Pretzel Bag by Kelloggs,23,0,,True,True,False,True,True,4.0,458
P00022,Coca-Cola,Beverages,Amazon,Coca-Cola - Juice Drink 6pk,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,False,False,True,4.2,2731
P00023,Coca-Cola,Beverages,Instacart,Coca-Cola - Juice Drink 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,4.8,3285
P00024,Nestle,Confectionery,Amazon,Nestle Wafer Bar Multipack (Pack of 8),38,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,True,True,True,3.2,1344
P00025,Colgate-Palmolive,Personal Care,Target.com,Bar Soap 3pk by Colgate-Palmolive,33,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,False,True,3.7,2984
P00026,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive - Laundry Detergent 50oz,42,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.2,1491
P00027,Mondelez,Snacks,Kroger.com,Mondelez Pretzel Bag,20,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,3.7,3851
P00028,Mondelez,Snacks,Kroger.com,Mondelez Chips Family Size,26,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,True,True,3.9,3251
P00029,Nestle,Breakfast,Target.com,Corn Flakes Cereal by Nestle,28,1,Made with real ingredients for a taste you'll love,False,True,True,True,True,4.9,2503
P00030,Coca-Cola,Beverages,Kroger.com,Coca-Cola Iced Coffee 4pk (Pack of 4),37,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.7,720
P00031,Kelloggs,Snacks,Kroger.com,Kelloggs Cracker Sandwiches,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,False,,0
P00032,Kelloggs,Snacks,Instacart,Kelloggs Chips Family Size (Pack of 4),38,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.7,2922
P00033,Colgate-Palmolive,Personal Care,Target.com,Colgate-Palmolive Bar Soap 3pk,30,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,847
P00034,Mondelez,Confectionery,Amazon,Mondelez Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,4.5,3677
P00035,Nestle,Confectionery,Target.com,Nestle Wafer Bar Multipack (Pack of 8),38,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,True,True,True,2.9,1613
P00036,Kelloggs,Breakfast,Instacart,Kelloggs - Corn Flakes Cereal,29,0,,True,True,True,True,True,4.5,1033
P00037,Coca-Cola,Beverages,Kroger.com,Cola 12pk Cans by Coca-Cola,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,True,True,True,4.1,977
P00038,Nestle,Confectionery,Kroger.com,Chocolate Bar by Nestle,23,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
P00039,Coca-Cola,Beverages,Kroger.com,Coca-Cola - Sparkling Water 8pk,31,0,,True,False,True,True,True,3.1,2318
P00040,Coca-Cola,Beverages,Instacart,Coca-Cola Juice,15,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,,0
P00041,Mondelez,Snacks,Walmart.com,Trail Mix Pouch by Mondelez,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,3.3,3828
P00042,Coca-Cola,Beverages,Walmart.com,Coca-Cola Iced Coffee 4pk (Pack of 8),37,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.1,3604
P00043,Colgate-Palmolive,Personal Care,Amazon,Colgate-Palmolive Mouthwash 1L (Pack of 4),42,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,3.6,996
P00044,Colgate-Palmolive,Home Care,Kroger.com,All-Purpose Cleaner Spray by Colgate-Palmolive,46,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,True,True,4.8,2826
P00045,Nestle,Beverages,Instacart,Diet Cola 2L Bottle by Nestle,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,2.9,223
P00046,Kelloggs,Snacks,Instacart,Cheese Crackers Box by Kelloggs,31,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,False,True,3.6,303
P00047,Kelloggs,Breakfast,Walmart.com,Kelloggs Granola Bars 6pk,25,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.7,1813
P00048,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive All-Purpose,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.0,641
P00049,Coca-Cola,Beverages,Kroger.com,Coca-Cola - Iced Coffee 4pk,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,True,True,True,4.0,3292
P00050,Nestle,Confectionery,Kroger.com,Chocolate Bar by Nestle,23,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.1,2820
P00051,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive All-Purpose Cleaner Spray,43,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.6,2404
P00052,Coca-Cola,Beverages,Amazon,Coca-Cola Juice Drink 6pk (Pack of 4),37,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.5,2744
P00053,Coca-Cola,Beverages,Instacart,Coca-Cola Sparkling Water 8pk (Pack of 8),41,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,False,3.9,4
P00054,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 4),36,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,3.1,3986
P00055,Kelloggs,Breakfast,Target.com,Kelloggs Granola,16,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,False,True,4.8,1195
P00056,Kelloggs,Snacks,Instacart,Kelloggs - Trail Mix Pouch,26,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",False,True,False,True,True,3.7,3826
P00057,Kelloggs,Snacks,Target.com,Kelloggs Cracker Sandwiches (Pack of 6),39,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,,0
P00058,Nestle,Breakfast,Kroger.com,Nestle Granola Bars 6pk (Pack of 8),35,0,,True,False,False,True,True,4.9,2028
P00059,Coca-Cola,Beverages,Kroger.com,Coca-Cola Juice Drink 6pk (Pack of 6),37,1,Made with real ingredients for a taste you'll love,False,True,True,True,False,4.4,1085
P00060,Colgate-Palmolive,Home Care,Amazon,Colgate-Palmolive Laundry Detergent 50oz (Pack of 6),52,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.2,1177
P00061,Nestle,Breakfast,Instacart,Nestle Corn Flakes Cereal,25,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,True,True,True,3.1,2175
P00062,Mondelez,Snacks,Walmart.com,Mondelez Cheese Crackers Box (Pack of 1),40,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,2.8,3295
P00063,Mondelez,Confectionery,Walmart.com,Mint Tin by Mondelez,20,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
P00064,Mondelez,Snacks,Instacart,Cheese Crackers Box by Mondelez,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.4,200
P00065,Kelloggs,Snacks,Walmart.com,Kelloggs - Pretzel Bag,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.7,2647
P00066,Coca-Cola,Beverages,Amazon,Coca-Cola - Iced Coffee 4pk,27,1,Made with real ingredients for a taste you'll love,True,False,True,True,True,,0
P00067,Kelloggs,Snacks,Target.com,Cheese Crackers Box by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,False,,0
P00068,Mondelez,Confectionery,Instacart,Mondelez Chocolate Bar,22,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,3.3,102
P00069,Kelloggs,Snacks,Walmart.com,Kelloggs Chips Family Size (Pack of 1),38,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,False,True,3.0,3634
P00070,Kelloggs,Breakfast,Instacart,Kelloggs Toaster Pastries 8pk (Pack of 6),41,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
P00071,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive - Bar Soap 3pk,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,3.2,500
P00072,Mondelez,Snacks,Kroger.com,Mondelez Cheese,15,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,4.5,954
P00073,Colgate-Palmolive,Personal Care,Target.com,Toothpaste 6oz by Colgate-Palmolive,35,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,2.8,1086
P00074,Coca-Cola,Beverages,Instacart,Coca-Cola Energy,16,0,,True,True,False,True,True,4.3,3722
P00075,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 1),36,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.1,2557
P00076,Kelloggs,Snacks,Kroger.com,Kelloggs Trail Mix Pouch (Pack of 12),37,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,935
P00077,Mondelez,Confectionery,Instacart,Chocolate Chip Cookies by Mondelez,34,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,True,False,True,3.0,395
P00078,Colgate-Palmolive,Personal Care,Kroger.com,Colgate-Palmolive Toothpaste 6oz,32,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.5,424
P00079,Kelloggs,Breakfast,Instacart,Granola Bars 6pk by Kelloggs,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0
P00080,Kelloggs,Breakfast,Amazon,Instant Oatmeal 8pk by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,4.8,375
P00081,Kelloggs,Breakfast,Instacart,Toaster Pastries 8pk by Kelloggs,32,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,False,True,2.9,334
P00082,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Laundry Detergent 50oz (Pack of 8),52,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,4.2,186
P00083,Nestle,Confectionery,Amazon,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.9,942
P00084,Kelloggs,Snacks,Instacart,Kelloggs Cracker Sandwiches (Pack of 1),39,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,2.8,1330
P00085,Nestle,Breakfast,Target.com,Nestle Toaster Pastries 8pk,27,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,3.2,2090
P00086,Coca-Cola,Beverages,Target.com,Coca-Cola - Sparkling Water 8pk,31,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,False,3.8,2309
P00087,Kelloggs,Snacks,Kroger.com,Chips Family Size by Kelloggs,29,1,Made with real ingredients for a taste you'll love,True,True,True,True,True,3.5,1851
P00088,Coca-Cola,Beverages,Target.com,Coca-Cola Sparkling Water 8pk,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,True,4.5,2669
P00089,Nestle,Confectionery,Instacart,Nestle Mint Tin,15,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,4.3,1799
P00090,Kelloggs,Breakfast,Target.com,Instant Oatmeal 8pk by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,True,True,True,3.3,3488
P00091,Kelloggs,Breakfast,Amazon,Instant Oatmeal 8pk by Kelloggs,31,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,True,True,True,4.2,1345
P00092,Nestle,Breakfast,Instacart,Corn Flakes Cereal by Nestle,28,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,True,False,True,False,3.4,3228
P00093,Coca-Cola,Beverages,Target.com,Coca-Cola Energy,16,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,3.7,2770
P00094,Nestle,Confectionery,Target.com,Nestle - Mint Tin,17,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,True,,0
P00095,Mondelez,Confectionery,Kroger.com,Mondelez - Chocolate Chip Cookies,33,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,True,True,True,3.0,3464
P00096,Kelloggs,Breakfast,Amazon,Kelloggs - Instant Oatmeal 8pk,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,3.6,1531
