product_id,brand,category,retailer,title,title_length,bullet_count,bullets,has_main_image,has_lifestyle_images,has_a_plus_content,in_stock,price_present,star_rating,review_count,shelf_health_score,issues,severity,suggested_title,suggested_bullets
P00003,Colgate-Palmolive,Home Care,Instacart,Colgate-Palmolive Dish,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,2.9,2708,65.5,Missing A+ content; Out of stock; Title too short,At Risk,"Colgate-Palmolive Dish - Home Care Essential, Multipack","Premium home care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00006,Kelloggs,Snacks,Instacart,Kelloggs Cheese Crackers Box (Pack of 8),40,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.6,566,56.7,Missing lifestyle images; Missing A+ content; Thin bullets (1/5),At Risk,"Kelloggs Cheese Crackers Box 8 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00007,Kelloggs,Snacks,Amazon,Kelloggs - Cracker Sandwiches,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,,0,67.2,Missing A+ content; Out of stock; Title too short,At Risk,"Kelloggs Cracker Sandwiches - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00008,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,1,Made with real ingredients for a taste you'll love,True,True,False,True,True,3.2,3738,64.2,Missing A+ content; Thin bullets (1/5); Title too short,At Risk,"Coca-Cola Energy Drink 12pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00009,Coca-Cola,Beverages,Kroger.com,Energy Drink 12pk by Coca-Cola,30,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.8,3599,67.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Coca-Cola Energy Drink 12pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00010,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive Toothpaste 6oz,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,68.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Colgate-Palmolive Toothpaste 6oz - Personal Care Essential, Multipack","Premium personal care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00011,Nestle,Confectionery,Kroger.com,Nestle - Mint Tin,17,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,2.9,86,54.2,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk,"Nestle Mint Tin - Confectionery Essential, Multipack","Premium confectionery from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00012,Kelloggs,Breakfast,Amazon,Kelloggs Granola Bars 6pk,25,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,3.1,3831,59.5,Missing main image; Missing lifestyle images; Thin bullets (2/5); Title too short,At Risk,"Kelloggs Granola Bars 6pk - Breakfast Essential, Multipack","Premium breakfast from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00017,Nestle,Beverages,Amazon,Nestle Juice,12,0,,True,True,False,True,True,3.0,2692,53.0,Missing A+ content; Thin bullets (0/5); Title too short,At Risk,"Nestle Juice - Beverages Essential, Multipack","Premium beverages from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00018,Kelloggs,Snacks,Walmart.com,Kelloggs Pretzel Bag (Pack of 6),32,1,Made with real ingredients for a taste you'll love,True,True,False,False,True,4.0,409,54.7,Missing A+ content; Out of stock; Thin bullets (1/5); Title too short,At Risk,"Kelloggs Pretzel Bag 6 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00021,Kelloggs,Snacks,Amazon,Pretzel Bag by Kelloggs,23,0,,True,True,False,True,True,4.0,458,55.8,Missing A+ content; Thin bullets (0/5); Title too short,At Risk,"Kelloggs Pretzel Bag - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00022,Coca-Cola,Beverages,Amazon,Coca-Cola - Juice Drink 6pk,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,True,False,False,True,4.2,2731,66.8,Missing A+ content; Out of stock; Title too short,At Risk,"Coca-Cola Juice Drink 6pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00023,Coca-Cola,Beverages,Instacart,Coca-Cola - Juice Drink 6pk,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,4.8,3285,46.8,Missing main image; Missing lifestyle images; Missing A+ content; Title too short,Critical,"Coca-Cola Juice Drink 6pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00028,Mondelez,Snacks,Kroger.com,Mondelez Chips Family Size,26,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,True,True,3.9,3251,59.8,Missing lifestyle images; Missing A+ content; Thin bullets (2/5); Title too short,At Risk,"Mondelez Chips Family Size - Snacks Essential, Multipack","Premium snacks from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00029,Nestle,Breakfast,Target.com,Corn Flakes Cereal by Nestle,28,1,Made with real ingredients for a taste you'll love,False,True,True,True,True,4.9,2503,63.7,Missing main image; Thin bullets (1/5); Title too short,At Risk,"Nestle Corn Flakes Cereal - Breakfast Essential, Multipack","Premium breakfast from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00031,Kelloggs,Snacks,Kroger.com,Kelloggs Cracker Sandwiches,27,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,False,,0,56.8,Missing lifestyle images; Missing A+ content; Price missing; Title too short,At Risk,"Kelloggs Cracker Sandwiches - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00033,Colgate-Palmolive,Personal Care,Target.com,Colgate-Palmolive Bar Soap 3pk,30,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,847,54.2,Missing lifestyle images; Missing A+ content; Thin bullets (1/5); Title too short,At Risk,"Colgate-Palmolive Bar Soap 3pk - Personal Care Essential, Multipack","Premium personal care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00038,Nestle,Confectionery,Kroger.com,Chocolate Bar by Nestle,23,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,65.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Nestle Chocolate Bar - Confectionery Essential, Multipack","Premium confectionery from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00039,Coca-Cola,Beverages,Kroger.com,Coca-Cola - Sparkling Water 8pk,31,0,,True,False,True,True,True,3.1,2318,67.8,Missing lifestyle images; Thin bullets (0/5); Title too short,At Risk,"Coca-Cola Sparkling Water 8pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00041,Mondelez,Snacks,Walmart.com,Trail Mix Pouch by Mondelez,27,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",False,False,False,True,True,3.3,3828,46.8,Missing main image; Missing lifestyle images; Missing A+ content; Title too short,Critical,"Mondelez Trail Mix Pouch - Snacks Essential, Multipack","Premium snacks from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00047,Kelloggs,Breakfast,Walmart.com,Kelloggs Granola Bars 6pk,25,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.7,1813,66.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Kelloggs Granola Bars 6pk - Breakfast Essential, Multipack","Premium breakfast from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00048,Colgate-Palmolive,Home Care,Kroger.com,Colgate-Palmolive All-Purpose,29,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.0,641,67.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Colgate-Palmolive All-Purpose - Home Care Essential, Multipack","Premium home care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00052,Coca-Cola,Beverages,Amazon,Coca-Cola Juice Drink 6pk (Pack of 4),37,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,3.5,2744,69.2,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Coca-Cola Juice Drink 6pk 4 - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00054,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 4),36,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,False,True,3.1,3986,69.0,Missing A+ content; Out of stock; Title too short,At Risk,"Kelloggs Trail Mix Pouch 4 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00056,Kelloggs,Snacks,Instacart,Kelloggs - Trail Mix Pouch,26,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",False,True,False,True,True,3.7,3826,56.5,Missing main image; Missing A+ content; Title too short,At Risk,"Kelloggs Trail Mix Pouch - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00058,Nestle,Breakfast,Kroger.com,Nestle Granola Bars 6pk (Pack of 8),35,0,,True,False,False,True,True,4.9,2028,48.8,Missing lifestyle images; Missing A+ content; Thin bullets (0/5); Title too short,Critical,"Nestle Granola Bars 6pk 8 - Breakfast Essential, Multipack","Premium breakfast from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00059,Coca-Cola,Beverages,Kroger.com,Coca-Cola Juice Drink 6pk (Pack of 6),37,1,Made with real ingredients for a taste you'll love,False,True,True,True,False,4.4,1085,55.9,Missing main image; Price missing; Thin bullets (1/5); Title too short,At Risk,"Coca-Cola Juice Drink 6pk 6 - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00063,Mondelez,Confectionery,Walmart.com,Mint Tin by Mondelez,20,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,65.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Mondelez Mint Tin - Confectionery Essential, Multipack","Premium confectionery from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00064,Mondelez,Snacks,Instacart,Cheese Crackers Box by Mondelez,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.4,200,67.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Mondelez Cheese Crackers Box - Snacks Essential, Multipack","Premium snacks from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00065,Kelloggs,Snacks,Walmart.com,Kelloggs - Pretzel Bag,22,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,4.7,2647,65.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Kelloggs Pretzel Bag - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00067,Kelloggs,Snacks,Target.com,Cheese Crackers Box by Kelloggs,31,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,True,False,True,False,,0,67.8,Missing A+ content; Price missing; Title too short,At Risk,"Kelloggs Cheese Crackers Box - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00068,Mondelez,Confectionery,Instacart,Mondelez Chocolate Bar,22,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,3.3,102,65.5,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Mondelez Chocolate Bar - Confectionery Essential, Multipack","Premium confectionery from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00071,Colgate-Palmolive,Personal Care,Walmart.com,Colgate-Palmolive - Bar Soap 3pk,32,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,False,True,3.2,500,58.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk,"Colgate-Palmolive Bar Soap 3pk - Personal Care Essential, Multipack","Premium personal care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00072,Mondelez,Snacks,Kroger.com,Mondelez Cheese,15,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,False,True,True,True,4.5,954,57.1,Missing main image; Missing lifestyle images; Thin bullets (2/5); Title too short,At Risk,"Mondelez Cheese - Snacks Essential, Multipack","Premium snacks from Mondelez, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00074,Coca-Cola,Beverages,Instacart,Coca-Cola Energy,16,0,,True,True,False,True,True,4.3,3722,54.0,Missing A+ content; Thin bullets (0/5); Title too short,At Risk,"Coca-Cola Energy - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00075,Kelloggs,Snacks,Amazon,Kelloggs Trail Mix Pouch (Pack of 1),36,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.1,2557,59.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk,"Kelloggs Trail Mix Pouch 1 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00076,Kelloggs,Snacks,Kroger.com,Kelloggs Trail Mix Pouch (Pack of 12),37,1,Made with real ingredients for a taste you'll love,True,False,False,True,True,3.7,935,55.9,Missing lifestyle images; Missing A+ content; Thin bullets (1/5); Title too short,At Risk,"Kelloggs Trail Mix Pouch 12 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00078,Colgate-Palmolive,Personal Care,Kroger.com,Colgate-Palmolive Toothpaste 6oz,32,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,False,True,3.5,424,58.0,Missing lifestyle images; Missing A+ content; Out of stock; Title too short,At Risk,"Colgate-Palmolive Toothpaste 6oz - Personal Care Essential, Multipack","Premium personal care from Colgate-Palmolive, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00079,Kelloggs,Breakfast,Instacart,Granola Bars 6pk by Kelloggs,28,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,,0,67.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Kelloggs Granola Bars 6pk - Breakfast Essential, Multipack","Premium breakfast from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00081,Kelloggs,Breakfast,Instacart,Toaster Pastries 8pk by Kelloggs,32,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,False,False,False,True,2.9,334,51.3,Missing lifestyle images; Missing A+ content; Out of stock; Thin bullets (2/5); Title too short,At Risk,"Kelloggs Toaster Pastries 8pk - Breakfast Essential, Multipack","Premium breakfast from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00084,Kelloggs,Snacks,Instacart,Kelloggs Cracker Sandwiches (Pack of 1),39,5,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added | Trusted brand quality, consistent taste every time | Resealable packaging keeps product fresh longer",True,False,False,True,True,2.8,1330,69.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Kelloggs Cracker Sandwiches 1 - Snacks Essential, Multipack","Premium snacks from Kelloggs, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00086,Coca-Cola,Beverages,Target.com,Coca-Cola - Sparkling Water 8pk,31,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",True,True,False,True,False,3.8,2309,61.1,Missing A+ content; Price missing; Thin bullets (2/5); Title too short,At Risk,"Coca-Cola Sparkling Water 8pk - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00089,Nestle,Confectionery,Instacart,Nestle Mint Tin,15,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,4.3,1799,63.8,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Nestle Mint Tin - Confectionery Essential, Multipack","Premium confectionery from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00092,Nestle,Breakfast,Instacart,Corn Flakes Cereal by Nestle,28,2,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing",False,True,False,True,False,3.4,3228,40.3,Missing main image; Missing A+ content; Price missing; Thin bullets (2/5); Title too short,Critical,"Nestle Corn Flakes Cereal - Breakfast Essential, Multipack","Premium breakfast from Nestle, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
P00093,Coca-Cola,Beverages,Target.com,Coca-Cola Energy,16,3,"Made with real ingredients for a taste you'll love | Convenient multipack, perfect for on-the-go or family sharing | No artificial preservatives added",True,False,False,True,True,3.7,2770,64.0,Missing lifestyle images; Missing A+ content; Title too short,At Risk,"Coca-Cola Energy - Beverages Essential, Multipack","Premium beverages from Coca-Cola, a trusted household name | Multipack format designed for everyday convenience and value | Consistent quality you can rely on, pack after pack"
